CarParkID,Development,LotType,Agency,id,lat,lng
CLM,BLK 129A CLARENCE LANE,H,HDB,CLM_H,1.292483012,103.8144006
CLM,BLK 129A CLARENCE LANE,Y,HDB,CLM_Y,1.292483012,103.8144006
CM1,BLK 10 CANTONMENT CLOSE,H,HDB,CM1_H,1.274458074,103.8392166
CM1,BLK 10 CANTONMENT CLOSE,Y,HDB,CM1_Y,1.274458074,103.8392166
CM1,BLK 10 CANTONMENT CLOSE,C,HDB,CM1_C,1.274458074,103.8392166
CR1,BLK 1/3/15/17 BEACH ROAD,C,HDB,CR1_C,1.303270836,103.8633077
CR2,BLK 3/4 BEACH ROAD,C,HDB,CR2_C,1.30468354,103.8656582
CR3,BLK 9 NORTH BRIDGE ROAD,C,HDB,CR3_C,1.305068654,103.8643248
CR6,BLK 10 NORTH BRIDGE ROAD,C,HDB,CR6_C,1.305524328,103.8633527
CR7,BLK 464/463 CRAWFORD LANE,C,HDB,CR7_C,1.305505881,103.8623393
CSM,BLK 54 CHIN SWEE ROAD MSCP,C,HDB,CSM_C,1.287438074,103.8411652
CV1,BLK 1/1A TELOK PAKU ROAD,C,HDB,CV1_C,1.388329163,103.988178
CV2,BLK 3 CHANGI VILLAGE ROAD,C,HDB,CV2_C,1.389902483,103.9879889
CV3,BLK 5 CHANGI VILLAGE ROAD,C,HDB,CV3_C,1.389983118,103.9864869
DRS,BLK 102A/102B DEPOT ROAD,C,HDB,DRS_C,1.280469756,103.8129928
EC2,BLK 12-25 EUNOS CRESCENT,C,HDB,EC2_C,1.322615728,103.9044421
EC3,BLK 5-8/11/4A EUNOS CRESCENT,C,HDB,EC3_C,1.321156734,103.9044758
EC4,BLK 1-3/1A EUNOS CRESCENT,C,HDB,EC4_C,1.320516456,103.9026924
EC7,BLK 842-848 SIMS AVENUE,C,HDB,EC7_C,1.317783703,103.9016257
EC8,BLK 2A EUNOS MRT SIMS AVENUE,C,HDB,EC8_C,1.319226865,103.9032081
ECM,BLK 31A EUNOS CRESCENT,C,HDB,ECM_C,1.320029988,103.9016271
EI3,BLK 410/411/414-417 EUNOS ROAD 5,C,HDB,EI3_C,1.318846467,103.8983797
EPL,BLK 1/7 EVERTON PARK,C,HDB,EPL_C,1.277163553,103.8399127
EPM,BLK 6A EVERTON ROAD,C,HDB,EPM_C,1.276184436,103.8389082
FRM,BLK 808 FRENCH ROAD MSCP,C,HDB,FRM_C,1.308758633,103.8613647
GBM,BLK 60A GEYLANG BAHRU,C,HDB,GBM_C,1.322772391,103.8686337
GE2,BLK 120 TO 123 GEYLANG EAST CENTRAL,C,HDB,GE2_C,1.317945422,103.8848394
GE2,BLK 120 TO 123 GEYLANG EAST CENTRAL,H,HDB,GE2_H,1.317945422,103.8848394
GE2,BLK 120 TO 123 GEYLANG EAST CENTRAL,Y,HDB,GE2_Y,1.317945422,103.8848394
GE3,BLK 124 TO 128 GEYLANG EAST AVE 1,C,HDB,GE3_C,1.317500992,103.8873633
GE3,BLK 124 TO 128 GEYLANG EAST AVE 1,H,HDB,GE3_H,1.317500992,103.8873633
GE3,BLK 124 TO 128 GEYLANG EAST AVE 1,Y,HDB,GE3_Y,1.317500992,103.8873633
GE5,BLK 129-134 GEYLANG EAST AVE 1/2,Y,HDB,GE5_Y,1.31654978,103.8875653
GE5,BLK 129-134 GEYLANG EAST AVE 1/2,C,HDB,GE5_C,1.31654978,103.8875653
GE5,BLK 129-134 GEYLANG EAST AVE 1/2,H,HDB,GE5_H,1.31654978,103.8875653
GEM,BLK 118 ALJUNIED AVE 2,C,HDB,GEM_C,1.320036814,103.8876027
GM2,BLK 7/8/9 GHIM MOH ROAD,C,HDB,GM2_C,1.311601403,103.7881601
GM3,BLK 19/20 GHIM MOH ROAD,C,HDB,GM3_C,1.311155905,103.7888531
GM5,BLK 21 GHIM MOH ROAD,C,HDB,GM5_C,1.310381853,103.7885108
GSM,BLK 2 GEYLANG SERAI,C,HDB,GSM_C,1.317206714,103.8983401
H12,BLK 1/5 DELTA AVE,H,HDB,H12_H,1.291993773,103.827409
H12,BLK 1/5 DELTA AVE,Y,HDB,H12_Y,1.291993773,103.827409
H12,BLK 1/5 DELTA AVE,C,HDB,H12_C,1.291993773,103.827409
