SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
MARINA EAST,MESZ01,MARINA EAST,ME,CENTRAL REGION,CR
INSTITUTION HILL,RVSZ05,RIVER VALLEY,RV,CENTRAL REGION,CR
ROBERTSON QUAY,SRSZ01,SINGAPORE RIVER,SR,CENTRAL REGION,CR
JURONG ISLAND AND BUKOM,WISZ01,WESTERN ISLANDS,WI,WEST REGION,WR
FORT CANNING,MUSZ02,MUSEUM,MU,CENTRAL REGION,CR
MARINA EAST (MP),MPSZ05,MARINE PARADE,MP,CENTRAL REGION,CR
SUDONG,WISZ03,WESTERN ISLANDS,WI,WEST REGION,WR
SEMAKAU,WISZ02,WESTERN ISLANDS,WI,WEST REGION,WR
SOUTHERN GROUP,SISZ02,SOUTHERN ISLANDS,SI,CENTRAL REGION,CR
SENTOSA,SISZ01,SOUTHERN ISLANDS,SI,CENTRAL REGION,CR
CITY TERMINALS,BMSZ17,BUKIT MERAH,BM,CENTRAL REGION,CR
ANSON,DTSZ10,DOWNTOWN CORE,DT,CENTRAL REGION,CR
STRAITS VIEW,SVSZ01,STRAITS VIEW,SV,CENTRAL REGION,CR
MARITIME SQUARE,BMSZ01,BUKIT MERAH,BM,CENTRAL REGION,CR
TELOK BLANGAH RISE,BMSZ15,BUKIT MERAH,BM,CENTRAL REGION,CR
TANJONG PAGAR,DTSZ09,DOWNTOWN CORE,DT,CENTRAL REGION,CR
EVERTON PARK,BMSZ16,BUKIT MERAH,BM,CENTRAL REGION,CR
TELOK BLANGAH WAY,BMSZ14,BUKIT MERAH,BM,CENTRAL REGION,CR
MAXWELL,DTSZ07,DOWNTOWN CORE,DT,CENTRAL REGION,CR
CECIL,DTSZ08,DOWNTOWN CORE,DT,CENTRAL REGION,CR
KAMPONG TIONG BAHRU,BMSZ11,BUKIT MERAH,BM,CENTRAL REGION,CR
TELOK BLANGAH DRIVE,BMSZ13,BUKIT MERAH,BM,CENTRAL REGION,CR
PASIR PANJANG 2,QTSZ14,QUEENSTOWN,QT,CENTRAL REGION,CR
CENTRAL SUBZONE,DTSZ11,DOWNTOWN CORE,DT,CENTRAL REGION,CR
SINGAPORE GENERAL HOSPITAL,BMSZ05,BUKIT MERAH,BM,CENTRAL REGION,CR
DEPOT ROAD,BMSZ12,BUKIT MERAH,BM,CENTRAL REGION,CR
BUKIT MERAH,BMSZ02,BUKIT MERAH,BM,CENTRAL REGION,CR
CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
PHILLIP,DTSZ04,DOWNTOWN CORE,DT,CENTRAL REGION,CR
RAFFLES PLACE,DTSZ05,DOWNTOWN CORE,DT,CENTRAL REGION,CR
CHINA SQUARE,OTSZ04,OUTRAM,OT,CENTRAL REGION,CR
TIONG BAHRU,BMSZ10,BUKIT MERAH,BM,CENTRAL REGION,CR
BAYFRONT SUBZONE,DTSZ12,DOWNTOWN CORE,DT,CENTRAL REGION,CR
TIONG BAHRU STATION,BMSZ04,BUKIT MERAH,BM,CENTRAL REGION,CR
CLIFFORD PIER,DTSZ06,DOWNTOWN CORE,DT,CENTRAL REGION,CR
MARINA SOUTH,MSSZ01,MARINA SOUTH,MS,CENTRAL REGION,CR
PEARL'S HILL,OTSZ01,OUTRAM,OT,CENTRAL REGION,CR
BOAT QUAY,SRSZ03,SINGAPORE RIVER,SR,CENTRAL REGION,CR
HENDERSON HILL,BMSZ08,BUKIT MERAH,BM,CENTRAL REGION,CR
REDHILL,BMSZ03,BUKIT MERAH,BM,CENTRAL REGION,CR
ALEXANDRA HILL,BMSZ07,BUKIT MERAH,BM,CENTRAL REGION,CR
BUKIT HO SWEE,BMSZ09,BUKIT MERAH,BM,CENTRAL REGION,CR
CLARKE QUAY,SRSZ02,SINGAPORE RIVER,SR,CENTRAL REGION,CR
PASIR PANJANG 1,QTSZ13,QUEENSTOWN,QT,CENTRAL REGION,CR
QUEENSWAY,QTSZ07,QUEENSTOWN,QT,CENTRAL REGION,CR
KENT RIDGE,QTSZ12,QUEENSTOWN,QT,CENTRAL REGION,CR
ALEXANDRA NORTH,BMSZ06,BUKIT MERAH,BM,CENTRAL REGION,CR
TANGLIN HALT,QTSZ04,QUEENSTOWN,QT,CENTRAL REGION,CR
MACKENZIE,RCSZ06,ROCHOR,RC,CENTRAL REGION,CR
SUNGEI ROAD,RCSZ03,ROCHOR,RC,CENTRAL REGION,CR
ONE NORTH,QTSZ08,QUEENSTOWN,QT,CENTRAL REGION,CR
TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
COMMONWEALTH,QTSZ03,QUEENSTOWN,QT,CENTRAL REGION,CR
DOVER,QTSZ10,QUEENSTOWN,QT,CENTRAL REGION,CR
RIDOUT,TNSZ03,TANGLIN,TN,CENTRAL REGION,CR
CAIRNHILL,NTSZ04,NEWTON,NT,CENTRAL REGION,CR
CLEMENTI WEST,CLSZ08,CLEMENTI,CL,WEST REGION,WR
MONK'S HILL,NTSZ05,NEWTON,NT,CENTRAL REGION,CR
SIGLAP,BDSZ07,BEDOK,BD,EAST REGION,ER
CLEMENTI WOODS,CLSZ07,CLEMENTI,CL,WEST REGION,WR
PIONEER SECTOR,PNSZ05,PIONEER,PN,WEST REGION,WR
PENJURU CRESCENT,JESZ11,JURONG EAST,JE,WEST REGION,WR
ORANGE GROVE,NTSZ01,NEWTON,NT,CENTRAL REGION,CR
KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
KATONG,MPSZ02,MARINE PARADE,MP,CENTRAL REGION,CR
BOULEVARD,ORSZ02,ORCHARD,OR,CENTRAL REGION,CR
ISTANA NEGARA,NTSZ06,NEWTON,NT,CENTRAL REGION,CR
LITTLE INDIA,RCSZ02,ROCHOR,RC,CENTRAL REGION,CR
GUL BASIN,PNSZ04,PIONEER,PN,WEST REGION,WR
MARINA CENTRE,DTSZ03,DOWNTOWN CORE,DT,CENTRAL REGION,CR
BRAS BASAH,MUSZ03,MUSEUM,MU,CENTRAL REGION,CR
OXLEY,RVSZ04,RIVER VALLEY,RV,CENTRAL REGION,CR
CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
MEI CHIN,QTSZ06,QUEENSTOWN,QT,CENTRAL REGION,CR
LEONIE HILL,RVSZ03,RIVER VALLEY,RV,CENTRAL REGION,CR
PORT,QTSZ15,QUEENSTOWN,QT,CENTRAL REGION,CR
DHOBY GHAUT,MUSZ01,MUSEUM,MU,CENTRAL REGION,CR
BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
VICTORIA,RCSZ10,ROCHOR,RC,CENTRAL REGION,CR
PATERSON,RVSZ02,RIVER VALLEY,RV,CENTRAL REGION,CR
EAST COAST,MPSZ04,MARINE PARADE,MP,CENTRAL REGION,CR
NATIONAL UNIVERSITY OF S'PORE,QTSZ11,QUEENSTOWN,QT,CENTRAL REGION,CR
ONE TREE HILL,RVSZ01,RIVER VALLEY,RV,CENTRAL REGION,CR
SOMERSET,ORSZ03,ORCHARD,OR,CENTRAL REGION,CR
BENCOOLEN,RCSZ09,ROCHOR,RC,CENTRAL REGION,CR
CHATSWORTH,TNSZ02,TANGLIN,TN,CENTRAL REGION,CR
KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
SELEGIE,RCSZ08,ROCHOR,RC,CENTRAL REGION,CR
MOUNT EMILY,RCSZ07,ROCHOR,RC,CENTRAL REGION,CR
ROCHOR CANAL,RCSZ04,ROCHOR,RC,CENTRAL REGION,CR
NICOLL,DTSZ13,DOWNTOWN CORE,DT,CENTRAL REGION,CR
MARGARET DRIVE,QTSZ05,QUEENSTOWN,QT,CENTRAL REGION,CR
TANGLIN,ORSZ01,ORCHARD,OR,CENTRAL REGION,CR
MARINE PARADE,MPSZ03,MARINE PARADE,MP,CENTRAL REGION,CR
JOO KOON,PNSZ01,PIONEER,PN,WEST REGION,WR
